 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
      189.00000       85.00000       -0.08581
      191.00000       85.00000       -0.08118
      193.00000       85.00000       -0.07604
      195.00000       85.00000       -0.07034
      197.00000       85.00000       -0.06406
      199.00000       85.00000       -0.05715
      201.00000       85.00000       -0.04958
      203.00000       85.00000       -0.04132
      205.00000       85.00000       -0.03235
      207.00000       85.00000       -0.02264
      209.00000       85.00000       -0.01219
      211.00000       85.00000       -0.00100
      213.00000       85.00000        0.01093
      215.00000       85.00000        0.02359
      217.00000       85.00000        0.03693
      219.00000       85.00000        0.05091
      221.00000       85.00000        0.06549
      223.00000       85.00000        0.08058
      225.00000       85.00000        0.09611
      227.00000       85.00000        0.11198
      229.00000       85.00000        0.12809
      231.00000       85.00000        0.14434
      233.00000       85.00000        0.16059
      235.00000       85.00000        0.17673
      237.00000       85.00000        0.19263
      239.00000       85.00000        0.20817
      241.00000       85.00000        0.22323
      243.00000       85.00000        0.23769
      245.00000       85.00000        0.25144
      247.00000       85.00000        0.26439
      249.00000       85.00000        0.27645
      251.00000       85.00000        0.28753
      253.00000       85.00000        0.29759
      255.00000       85.00000        0.30656
      257.00000       85.00000        0.31440
      259.00000       85.00000        0.32109
      261.00000       85.00000        0.32661
      263.00000       85.00000        0.33095
      265.00000       85.00000        0.33410
      267.00000       85.00000        0.33607
      269.00000       85.00000        0.33687
      271.00000       85.00000        0.33651
      273.00000       85.00000        0.33499
      275.00000       85.00000        0.33235
      277.00000       85.00000        0.32858
      279.00000       85.00000        0.32373
      281.00000       85.00000        0.31779
      283.00000       85.00000        0.31080
      285.00000       85.00000        0.30279
      287.00000       85.00000        0.29379
      289.00000       85.00000        0.28383
      291.00000       85.00000        0.27297
      293.00000       85.00000        0.26125
      295.00000       85.00000        0.24875
      297.00000       85.00000        0.23553
      299.00000       85.00000        0.22169
      301.00000       85.00000        0.20731
      303.00000       85.00000        0.19249
      305.00000       85.00000        0.17735
      307.00000       85.00000        0.16199
      309.00000       85.00000        0.14654
      311.00000       85.00000        0.13111
      313.00000       85.00000        0.11582
      315.00000       85.00000        0.10077
