 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
      327.00000       85.00000        0.12489
      329.00000       85.00000        0.08145
      331.00000       85.00000        0.04621
      333.00000       85.00000        0.01841
      335.00000       85.00000       -0.00280
      337.00000       85.00000       -0.01829
      339.00000       85.00000       -0.02894
      341.00000       85.00000       -0.03560
      343.00000       85.00000       -0.03909
      345.00000       85.00000       -0.04016
      347.00000       85.00000       -0.03944
      349.00000       85.00000       -0.03750
      351.00000       85.00000       -0.03480
      353.00000       85.00000       -0.03166
      355.00000       85.00000       -0.02834
      357.00000       85.00000       -0.02498
      359.00000       85.00000       -0.02165
        1.00000       83.00000       -0.05900
        3.00000       83.00000       -0.05687
        5.00000       83.00000       -0.05557
        7.00000       83.00000       -0.05453
        9.00000       83.00000       -0.05314
       11.00000       83.00000       -0.05079
       13.00000       83.00000       -0.04691
       15.00000       83.00000       -0.04099
       17.00000       83.00000       -0.03262
       19.00000       83.00000       -0.02156
       21.00000       83.00000       -0.00770
       23.00000       83.00000        0.00883
       25.00000       83.00000        0.02779
       27.00000       83.00000        0.04877
       29.00000       83.00000        0.07125
       31.00000       83.00000        0.09470
       33.00000       83.00000        0.11858
       35.00000       83.00000        0.14241
       37.00000       83.00000        0.16577
       39.00000       83.00000        0.18838
       41.00000       83.00000        0.21003
       43.00000       83.00000        0.23064
       45.00000       83.00000        0.25018
       47.00000       83.00000        0.26868
       49.00000       83.00000        0.28624
       51.00000       83.00000        0.30295
       53.00000       83.00000        0.31890
       55.00000       83.00000        0.33418
       57.00000       83.00000        0.34886
       59.00000       83.00000        0.36300
       61.00000       83.00000        0.37661
       63.00000       83.00000        0.38969
       65.00000       83.00000        0.40220
       67.00000       83.00000        0.41407
       69.00000       83.00000        0.42524
       71.00000       83.00000        0.43559
       73.00000       83.00000        0.44502
       75.00000       83.00000        0.45343
       77.00000       83.00000        0.46072
       79.00000       83.00000        0.46684
       81.00000       83.00000        0.47175
       83.00000       83.00000        0.47547
       85.00000       83.00000        0.47809
       87.00000       83.00000        0.47972
       89.00000       83.00000        0.48055
       91.00000       83.00000        0.48077
       93.00000       83.00000        0.48057
       95.00000       83.00000        0.48012
       97.00000       83.00000        0.47955
       99.00000       83.00000        0.47891
      101.00000       83.00000        0.47816
      103.00000       83.00000        0.47719
      105.00000       83.00000        0.47584
      107.00000       83.00000        0.47388
      109.00000       83.00000        0.47109
      111.00000       83.00000        0.46726
      113.00000       83.00000        0.46223
      115.00000       83.00000        0.45589
      117.00000       83.00000        0.44820
      119.00000       83.00000        0.43919
      121.00000       83.00000        0.42895
      123.00000       83.00000        0.41761
      125.00000       83.00000        0.40532
      127.00000       83.00000        0.39226
      129.00000       83.00000        0.37859
      131.00000       83.00000        0.36448
      133.00000       83.00000        0.35006
      135.00000       83.00000        0.33546
      137.00000       83.00000        0.32076
      139.00000       83.00000        0.30604
      141.00000       83.00000        0.29135
      143.00000       83.00000        0.27675
      145.00000       83.00000        0.26227
      147.00000       83.00000        0.24795
      149.00000       83.00000        0.23384
      151.00000       83.00000        0.22000
      153.00000       83.00000        0.20649
      155.00000       83.00000        0.19338
      157.00000       83.00000        0.18074
      159.00000       83.00000        0.16862
      161.00000       83.00000        0.15706
      163.00000       83.00000        0.14609
      165.00000       83.00000        0.13571
      167.00000       83.00000        0.12592
      169.00000       83.00000        0.11671
      171.00000       83.00000        0.10806
      173.00000       83.00000        0.09997
      175.00000       83.00000        0.09243
      177.00000       83.00000        0.08545
      179.00000       83.00000        0.07902
      181.00000       83.00000        0.07313
      183.00000       83.00000        0.06775
      185.00000       83.00000        0.06291
      187.00000       83.00000        0.05864
      189.00000       83.00000        0.05508
      191.00000       83.00000        0.05247
      193.00000       83.00000        0.05122
      195.00000       83.00000        0.05193
      197.00000       83.00000        0.05542
      199.00000       83.00000        0.06273
      201.00000       83.00000        0.07513
      203.00000       83.00000        0.09412
      205.00000       83.00000        0.12140
      207.00000       83.00000        0.15882
      209.00000       83.00000        0.20836
      211.00000       83.00000        0.27199
      213.00000       83.00000        0.35157
      215.00000       83.00000        0.44864
      217.00000       83.00000        0.56431
      219.00000       83.00000        0.69897
      221.00000       83.00000        0.85222
      223.00000       83.00000        1.02267
      225.00000       83.00000        1.20794
      227.00000       83.00000        1.40465
      229.00000       83.00000        1.60856
      231.00000       83.00000        1.81471
      233.00000       83.00000        2.01772
      235.00000       83.00000        2.21208
      237.00000       83.00000        2.39244
      239.00000       83.00000        2.55398
      241.00000       83.00000        2.69268
      243.00000       83.00000        2.80555
      245.00000       83.00000        2.89084
      247.00000       83.00000        2.94809
      249.00000       83.00000        2.97813
      251.00000       83.00000        2.98302
      253.00000       83.00000        2.96585
      255.00000       83.00000        2.93055
      257.00000       83.00000        2.88166
      259.00000       83.00000        2.82401
      261.00000       83.00000        2.76248
      263.00000       83.00000        2.70174
      265.00000       83.00000        2.64602
      267.00000       83.00000        2.59887
      269.00000       83.00000        2.56300
      271.00000       83.00000        2.54017
      273.00000       83.00000        2.53105
      275.00000       83.00000        2.53519
      277.00000       83.00000        2.55103
      279.00000       83.00000        2.57592
      281.00000       83.00000        2.60629
      283.00000       83.00000        2.63779
      285.00000       83.00000        2.66556
      287.00000       83.00000        2.68447
