 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      237.00000       85.00000        1.33803
      239.00000       85.00000        1.73414
      241.00000       85.00000        2.13577
      243.00000       85.00000        2.53808
      245.00000       85.00000        2.93611
      247.00000       85.00000        3.32490
      249.00000       85.00000        3.69960
      251.00000       85.00000        4.05553
      253.00000       85.00000        4.38838
      255.00000       85.00000        4.69417
      257.00000       85.00000        4.96941
      259.00000       85.00000        5.21109
      261.00000       85.00000        5.41673
      263.00000       85.00000        5.58439
      265.00000       85.00000        5.71268
      267.00000       85.00000        5.80072
      269.00000       85.00000        5.84814
      271.00000       85.00000        5.85503
      273.00000       85.00000        5.82191
      275.00000       85.00000        5.74973
      277.00000       85.00000        5.63976
      279.00000       85.00000        5.49361
      281.00000       85.00000        5.31322
      283.00000       85.00000        5.10080
      285.00000       85.00000        4.85880
      287.00000       85.00000        4.58998
      289.00000       85.00000        4.29732
      291.00000       85.00000        3.98402
      293.00000       85.00000        3.65354
      295.00000       85.00000        3.30951
      297.00000       85.00000        2.95576
      299.00000       85.00000        2.59622
      301.00000       85.00000        2.23491
      303.00000       85.00000        1.87587
      305.00000       85.00000        1.52304
      307.00000       85.00000        1.18024
      309.00000       85.00000        0.85102
      311.00000       85.00000        0.53862
      313.00000       85.00000        0.24586
      315.00000       85.00000       -0.02490
      317.00000       85.00000       -0.27184
      319.00000       85.00000       -0.49370
      321.00000       85.00000       -0.68979
      323.00000       85.00000       -0.85997
      325.00000       85.00000       -1.00465
      327.00000       85.00000       -1.12472
      329.00000       85.00000       -1.22148
      331.00000       85.00000       -1.29661
      333.00000       85.00000       -1.35205
      335.00000       85.00000       -1.38996
      337.00000       85.00000       -1.41261
      339.00000       85.00000       -1.42234
      341.00000       85.00000       -1.42145
      343.00000       85.00000       -1.41218
      345.00000       85.00000       -1.39661
      347.00000       85.00000       -1.37663
      349.00000       85.00000       -1.35392
      351.00000       85.00000       -1.32988
      353.00000       85.00000       -1.30566
      355.00000       85.00000       -1.28212
      357.00000       85.00000       -1.25987
      359.00000       85.00000       -1.23930
        1.00000       83.00000       -1.05003
        3.00000       83.00000       -1.03814
        5.00000       83.00000       -1.03472
        7.00000       83.00000       -1.03782
        9.00000       83.00000       -1.04538
       11.00000       83.00000       -1.05535
       13.00000       83.00000       -1.06579
       15.00000       83.00000       -1.07491
       17.00000       83.00000       -1.08123
       19.00000       83.00000       -1.08357
       21.00000       83.00000       -1.08119
       23.00000       83.00000       -1.07375
       25.00000       83.00000       -1.06135
       27.00000       83.00000       -1.04445
       29.00000       83.00000       -1.02383
       31.00000       83.00000       -1.00044
       33.00000       83.00000       -0.97531
       35.00000       83.00000       -0.94944
       37.00000       83.00000       -0.92371
       39.00000       83.00000       -0.89881
       41.00000       83.00000       -0.87523
       43.00000       83.00000       -0.85325
       45.00000       83.00000       -0.83294
       47.00000       83.00000       -0.81423
       49.00000       83.00000       -0.79691
       51.00000       83.00000       -0.78075
       53.00000       83.00000       -0.76544
       55.00000       83.00000       -0.75074
       57.00000       83.00000       -0.73639
       59.00000       83.00000       -0.72223
       61.00000       83.00000       -0.70815
       63.00000       83.00000       -0.69413
       65.00000       83.00000       -0.68021
       67.00000       83.00000       -0.66652
       69.00000       83.00000       -0.65323
       71.00000       83.00000       -0.64056
       73.00000       83.00000       -0.62876
       75.00000       83.00000       -0.61805
       77.00000       83.00000       -0.60863
       79.00000       83.00000       -0.60064
       81.00000       83.00000       -0.59409
       83.00000       83.00000       -0.58890
       85.00000       83.00000       -0.58486
       87.00000       83.00000       -0.58166
       89.00000       83.00000       -0.57889
       91.00000       83.00000       -0.57612
       93.00000       83.00000       -0.57293
       95.00000       83.00000       -0.56899
       97.00000       83.00000       -0.56413
       99.00000       83.00000       -0.55832
      101.00000       83.00000       -0.55176
      103.00000       83.00000       -0.54484
      105.00000       83.00000       -0.53805
      107.00000       83.00000       -0.53203
      109.00000       83.00000       -0.52737
      111.00000       83.00000       -0.52466
      113.00000       83.00000       -0.52434
      115.00000       83.00000       -0.52674
      117.00000       83.00000       -0.53199
      119.00000       83.00000       -0.54009
      121.00000       83.00000       -0.55089
      123.00000       83.00000       -0.56414
      125.00000       83.00000       -0.57953
      127.00000       83.00000       -0.59673
      129.00000       83.00000       -0.61541
      131.00000       83.00000       -0.63524
      133.00000       83.00000       -0.65599
      135.00000       83.00000       -0.67744
      137.00000       83.00000       -0.69944
      139.00000       83.00000       -0.72191
      141.00000       83.00000       -0.74479
      143.00000       83.00000       -0.76811
      145.00000       83.00000       -0.79189
      147.00000       83.00000       -0.81622
      149.00000       83.00000       -0.84122
      151.00000       83.00000       -0.86702
      153.00000       83.00000       -0.89381
      155.00000       83.00000       -0.92182
      157.00000       83.00000       -0.95131
      159.00000       83.00000       -0.98257
      161.00000       83.00000       -1.01593
      163.00000       83.00000       -1.05170
      165.00000       83.00000       -1.09021
      167.00000       83.00000       -1.13171
      169.00000       83.00000       -1.17641
      171.00000       83.00000       -1.22446
      173.00000       83.00000       -1.27594
      175.00000       83.00000       -1.33086
      177.00000       83.00000       -1.38922
      179.00000       83.00000       -1.45094
      181.00000       83.00000       -1.51586
      183.00000       83.00000       -1.58370
      185.00000       83.00000       -1.65390
      187.00000       83.00000       -1.72555
      189.00000       83.00000       -1.79721
      191.00000       83.00000       -1.86678
      193.00000       83.00000       -1.93142
      195.00000       83.00000       -1.98746
      197.00000       83.00000       -2.03036
      199.00000       83.00000       -2.05479
      201.00000       83.00000       -2.05462
      203.00000       83.00000       -2.02303
      205.00000       83.00000       -1.95259
      207.00000       83.00000       -1.83539
      209.00000       83.00000       -1.66322
      211.00000       83.00000       -1.42782
      213.00000       83.00000       -1.12121
      215.00000       83.00000       -0.73614
      217.00000       83.00000       -0.26661
      219.00000       83.00000        0.29160
      221.00000       83.00000        0.94037
      223.00000       83.00000        1.67880
      225.00000       83.00000        2.50287
      227.00000       83.00000        3.40536
      229.00000       83.00000        4.37587
      231.00000       83.00000        5.40110
      233.00000       83.00000        6.46538
      235.00000       83.00000        7.55127
      237.00000       83.00000        8.64033
      239.00000       83.00000        9.71394
      241.00000       83.00000       10.75412
      243.00000       83.00000       11.74429
      245.00000       83.00000       12.66996
      247.00000       83.00000       13.51921
      249.00000       83.00000       14.28309
      251.00000       83.00000       14.95572
      253.00000       83.00000       15.53430
      255.00000       83.00000       16.01891
      257.00000       83.00000       16.41214
      259.00000       83.00000       16.71865
      261.00000       83.00000       16.94462
      263.00000       83.00000       17.09713
      265.00000       83.00000       17.18355
      267.00000       83.00000       17.21098
      269.00000       83.00000       17.18565
      271.00000       83.00000       17.11250
      273.00000       83.00000       16.99484
      275.00000       83.00000       16.83407
      277.00000       83.00000       16.62965
      279.00000       83.00000       16.37916
      281.00000       83.00000       16.07858
      283.00000       83.00000       15.72270
      285.00000       83.00000       15.30568
      287.00000       83.00000       14.82169
      289.00000       83.00000       14.26566
      291.00000       83.00000       13.63404
      293.00000       83.00000       12.92540
      295.00000       83.00000       12.14103
      297.00000       83.00000       11.28530
      299.00000       83.00000       10.36580
      301.00000       83.00000        9.39327
      303.00000       83.00000        8.38131
      305.00000       83.00000        7.34581
      307.00000       83.00000        6.30428
      309.00000       83.00000        5.27501
      311.00000       83.00000        4.27615
      313.00000       83.00000        3.32485
      315.00000       83.00000        2.43641
      317.00000       83.00000        1.62358
      319.00000       83.00000        0.89606
      321.00000       83.00000        0.26018
      323.00000       83.00000       -0.28116
      325.00000       83.00000       -0.72833
      327.00000       83.00000       -1.08460
      329.00000       83.00000       -1.35569
      331.00000       83.00000       -1.54922
      333.00000       83.00000       -1.67412
      335.00000       83.00000       -1.74012
      337.00000       83.00000       -1.75730
