 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
      213.00000       83.00000       -0.83123
      215.00000       83.00000       -0.98733
      217.00000       83.00000       -1.15060
      219.00000       83.00000       -1.31724
      221.00000       83.00000       -1.48269
      223.00000       83.00000       -1.64182
      225.00000       83.00000       -1.78917
      227.00000       83.00000       -1.91935
      229.00000       83.00000       -2.02736
      231.00000       83.00000       -2.10888
      233.00000       83.00000       -2.16065
      235.00000       83.00000       -2.18063
      237.00000       83.00000       -2.16814
      239.00000       83.00000       -2.12390
      241.00000       83.00000       -2.04994
      243.00000       83.00000       -1.94946
      245.00000       83.00000       -1.82652
      247.00000       83.00000       -1.68582
      249.00000       83.00000       -1.53228
      251.00000       83.00000       -1.37076
      253.00000       83.00000       -1.20576
      255.00000       83.00000       -1.04112
      257.00000       83.00000       -0.87990
      259.00000       83.00000       -0.72422
      261.00000       83.00000       -0.57525
      263.00000       83.00000       -0.43326
      265.00000       83.00000       -0.29766
      267.00000       83.00000       -0.16720
      269.00000       83.00000       -0.04009
      271.00000       83.00000        0.08577
      273.00000       83.00000        0.21258
      275.00000       83.00000        0.34245
      277.00000       83.00000        0.47717
      279.00000       83.00000        0.61801
      281.00000       83.00000        0.76557
      283.00000       83.00000        0.91959
      285.00000       83.00000        1.07892
      287.00000       83.00000        1.24144
      289.00000       83.00000        1.40411
      291.00000       83.00000        1.56308
      293.00000       83.00000        1.71387
      295.00000       83.00000        1.85163
      297.00000       83.00000        1.97145
      299.00000       83.00000        2.06867
      301.00000       83.00000        2.13924
      303.00000       83.00000        2.18000
      305.00000       83.00000        2.18894
      307.00000       83.00000        2.16538
      309.00000       83.00000        2.11002
      311.00000       83.00000        2.02491
      313.00000       83.00000        1.91336
      315.00000       83.00000        1.77967
      317.00000       83.00000        1.62887
      319.00000       83.00000        1.46640
      321.00000       83.00000        1.29772
      323.00000       83.00000        1.12799
      325.00000       83.00000        0.96181
      327.00000       83.00000        0.80301
      329.00000       83.00000        0.65452
      331.00000       83.00000        0.51839
      333.00000       83.00000        0.39581
      335.00000       83.00000        0.28728
      337.00000       83.00000        0.19269
      339.00000       83.00000        0.11149
      341.00000       83.00000        0.04281
      343.00000       83.00000       -0.01444
      345.00000       83.00000       -0.06154
      347.00000       83.00000       -0.09985
      349.00000       83.00000       -0.13080
      351.00000       83.00000       -0.15576
      353.00000       83.00000       -0.17603
      355.00000       83.00000       -0.19276
      357.00000       83.00000       -0.20689
      359.00000       83.00000       -0.21914
        1.00000       81.00000       -0.27004
        3.00000       81.00000       -0.28313
        5.00000       81.00000       -0.29529
        7.00000       81.00000       -0.30651
        9.00000       81.00000       -0.31683
       11.00000       81.00000       -0.32627
       13.00000       81.00000       -0.33482
       15.00000       81.00000       -0.34244
       17.00000       81.00000       -0.34907
       19.00000       81.00000       -0.35463
       21.00000       81.00000       -0.35908
       23.00000       81.00000       -0.36245
       25.00000       81.00000       -0.36479
       27.00000       81.00000       -0.36621
       29.00000       81.00000       -0.36681
       31.00000       81.00000       -0.36667
       33.00000       81.00000       -0.36582
       35.00000       81.00000       -0.36425
       37.00000       81.00000       -0.36189
       39.00000       81.00000       -0.35863
       41.00000       81.00000       -0.35433
       43.00000       81.00000       -0.34886
       45.00000       81.00000       -0.34211
       47.00000       81.00000       -0.33401
       49.00000       81.00000       -0.32452
       51.00000       81.00000       -0.31366
       53.00000       81.00000       -0.30150
       55.00000       81.00000       -0.28813
       57.00000       81.00000       -0.27368
       59.00000       81.00000       -0.25829
       61.00000       81.00000       -0.24209
       63.00000       81.00000       -0.22521
       65.00000       81.00000       -0.20775
       67.00000       81.00000       -0.18983
       69.00000       81.00000       -0.17153
       71.00000       81.00000       -0.15295
       73.00000       81.00000       -0.13417
       75.00000       81.00000       -0.11526
       77.00000       81.00000       -0.09630
       79.00000       81.00000       -0.07730
       81.00000       81.00000       -0.05830
       83.00000       81.00000       -0.03930
       85.00000       81.00000       -0.02033
       87.00000       81.00000       -0.00138
       89.00000       81.00000        0.01749
       91.00000       81.00000        0.03625
       93.00000       81.00000        0.05484
       95.00000       81.00000        0.07323
       97.00000       81.00000        0.09137
       99.00000       81.00000        0.10925
      101.00000       81.00000        0.12685
      103.00000       81.00000        0.14413
      105.00000       81.00000        0.16106
      107.00000       81.00000        0.17760
      109.00000       81.00000        0.19369
      111.00000       81.00000        0.20927
      113.00000       81.00000        0.22429
      115.00000       81.00000        0.23872
      117.00000       81.00000        0.25250
      119.00000       81.00000        0.26561
      121.00000       81.00000        0.27800
      123.00000       81.00000        0.28962
      125.00000       81.00000        0.30042
      127.00000       81.00000        0.31035
      129.00000       81.00000        0.31934
      131.00000       81.00000        0.32734
