 ########################################
 #     RECTANGULAR load of type 50       
 #   degree,  order, & load (kg/m**2)    
  23    9 -.10923447E-09 0.10923447E-09
  23   10 0.20266044E-11 0.24152130E-11
  23   11 -.36445038E-12 0.25519090E-12
  23   12 0.20640962E-13 0.35751196E-13
  23   13 0.16235439E-14 -.75707096E-15
  23   14 -.15392129E-16 -.42289526E-16
  23   15 -.42610672E-18 0.11417495E-18
  23   16 -.26538392E-20 -.15050670E-19
  23   17 -.87486054E-21 0.76540379E-22
  23   18 0.00000000E+00 0.23768749E-22
  23   19 0.40039606E-24 0.35030116E-25
  23   20 0.56356147E-27 -.31961159E-26
  23   21 0.43197793E-28 0.11574814E-28
  23   22 0.77954829E-30 -.21417913E-29
  23   23 -.43900145E-31 -.20470974E-31
  24    0 -.66328726E+03 0.00000000E+00
  24    1 0.26565882E+01 -.30364942E+02
  24    2 -.18088661E+01 -.31895190E+00
  24    3 0.31640394E-02 -.11808356E-01
  24    4 -.10409300E-02 -.37886754E-03
  24    5 -.84101874E-06 0.18035705E-05
  24    6 0.41041616E-06 0.23695388E-06
  24    7 0.23233620E-07 -.33181048E-07
  24    8 -.90836523E-09 -.76220893E-09
  24    9 -.46021155E-10 0.46021155E-10
  24   10 0.96556468E-12 0.11507152E-11
  24   11 -.19756283E-12 0.13833499E-12
  24   12 0.12274314E-13 0.21259736E-13
  24   13 0.10327514E-14 -.48157990E-15
  24   14 -.10304910E-16 -.28312509E-16
  24   15 -.29700479E-18 0.79582193E-19
  24   16 -.19112718E-20 -.10839361E-19
  24   17 -.64742592E-21 0.56642428E-22
  24   18 0.00000000E+00 0.17999287E-22
  24   19 0.30927103E-24 0.27057709E-25
  24   20 0.44287853E-27 -.25116890E-26
  24   21 0.34467130E-28 0.92354397E-29
  24   22 0.63045349E-30 -.17321567E-29
  24   23 -.35936132E-31 -.16757294E-31
  24   24 -.27109363E-33 0.46954794E-33
  25    0 -.82243034E+03 0.00000000E+00
  25    1 -.11288428E+00 0.12902732E+01
  25    2 -.19126154E+01 -.33724570E+00
  25    3 -.42506026E-02 0.15863465E-01
  25    4 -.81654424E-03 -.29719780E-03
  25    5 -.14899436E-05 0.31951945E-05
  25    6 0.11382054E-06 0.65714319E-07
  25    7 0.22169226E-07 -.31660936E-07
  25    8 -.97150369E-09 -.81518838E-09
  25    9 -.23191876E-10 0.23191876E-10
  25   10 0.43172522E-12 0.51451008E-12
  25   11 -.99987133E-13 0.70011744E-13
  25   12 0.69125960E-14 0.11972967E-13
  25   13 0.62916283E-15 -.29338345E-15
  25   14 -.66587382E-17 -.18294733E-16
  25   15 -.20089882E-18 0.53830675E-19
  25   16 -.13410990E-20 -.76057502E-20
  25   17 -.46819641E-21 0.40961878E-22
  25   18 0.00000000E+00 0.13350482E-22
  25   19 0.23441346E-24 0.20508521E-25
  25   20 0.34203786E-27 -.19397931E-26
  25   21 0.27060519E-28 0.72508442E-29
  25   22 0.50223475E-30 -.13798786E-29
  25   23 -.29002159E-31 -.13523929E-31
