 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
       87.00000       83.00000       -0.54974
       89.00000       83.00000       -0.54394
       91.00000       83.00000       -0.53891
       93.00000       83.00000       -0.53464
       95.00000       83.00000       -0.53110
       97.00000       83.00000       -0.52830
       99.00000       83.00000       -0.52621
      101.00000       83.00000       -0.52483
      103.00000       83.00000       -0.52417
      105.00000       83.00000       -0.52422
      107.00000       83.00000       -0.52501
      109.00000       83.00000       -0.52655
      111.00000       83.00000       -0.52886
      113.00000       83.00000       -0.53193
      115.00000       83.00000       -0.53579
      117.00000       83.00000       -0.54044
      119.00000       83.00000       -0.54588
      121.00000       83.00000       -0.55212
      123.00000       83.00000       -0.55919
      125.00000       83.00000       -0.56710
      127.00000       83.00000       -0.57591
      129.00000       83.00000       -0.58565
      131.00000       83.00000       -0.59638
      133.00000       83.00000       -0.60816
      135.00000       83.00000       -0.62104
      137.00000       83.00000       -0.63507
      139.00000       83.00000       -0.65031
      141.00000       83.00000       -0.66678
      143.00000       83.00000       -0.68451
      145.00000       83.00000       -0.70352
      147.00000       83.00000       -0.72385
      149.00000       83.00000       -0.74551
      151.00000       83.00000       -0.76858
      153.00000       83.00000       -0.79313
      155.00000       83.00000       -0.81931
      157.00000       83.00000       -0.84730
      159.00000       83.00000       -0.87733
      161.00000       83.00000       -0.90967
      163.00000       83.00000       -0.94460
      165.00000       83.00000       -0.98240
      167.00000       83.00000       -1.02331
      169.00000       83.00000       -1.06752
      171.00000       83.00000       -1.11517
      173.00000       83.00000       -1.16632
      175.00000       83.00000       -1.22098
      177.00000       83.00000       -1.27910
      179.00000       83.00000       -1.34061
      181.00000       83.00000       -1.40533
      183.00000       83.00000       -1.47294
      185.00000       83.00000       -1.54292
      187.00000       83.00000       -1.61436
      189.00000       83.00000       -1.68585
      191.00000       83.00000       -1.75535
      193.00000       83.00000       -1.82010
      195.00000       83.00000       -1.87651
      197.00000       83.00000       -1.92018
      199.00000       83.00000       -1.94588
      201.00000       83.00000       -1.94765
      203.00000       83.00000       -1.91885
      205.00000       83.00000       -1.85223
      207.00000       83.00000       -1.74011
      209.00000       83.00000       -1.57451
      211.00000       83.00000       -1.34743
