 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
      247.00000       83.00000       -0.60499
      249.00000       83.00000       -0.61747
      251.00000       83.00000       -0.62648
      253.00000       83.00000       -0.63227
      255.00000       83.00000       -0.63519
      257.00000       83.00000       -0.63567
      259.00000       83.00000       -0.63424
      261.00000       83.00000       -0.63143
      263.00000       83.00000       -0.62780
      265.00000       83.00000       -0.62384
      267.00000       83.00000       -0.62000
      269.00000       83.00000       -0.61663
      271.00000       83.00000       -0.61396
      273.00000       83.00000       -0.61209
      275.00000       83.00000       -0.61100
      277.00000       83.00000       -0.61052
      279.00000       83.00000       -0.61033
      281.00000       83.00000       -0.61003
      283.00000       83.00000       -0.60911
      285.00000       83.00000       -0.60702
      287.00000       83.00000       -0.60319
      289.00000       83.00000       -0.59708
      291.00000       83.00000       -0.58823
      293.00000       83.00000       -0.57628
      295.00000       83.00000       -0.56102
      297.00000       83.00000       -0.54237
      299.00000       83.00000       -0.52044
      301.00000       83.00000       -0.49546
      303.00000       83.00000       -0.46783
      305.00000       83.00000       -0.43802
      307.00000       83.00000       -0.40661
      309.00000       83.00000       -0.37419
      311.00000       83.00000       -0.34141
      313.00000       83.00000       -0.30886
      315.00000       83.00000       -0.27711
      317.00000       83.00000       -0.24666
      319.00000       83.00000       -0.21791
      321.00000       83.00000       -0.19115
      323.00000       83.00000       -0.16656
      325.00000       83.00000       -0.14423
      327.00000       83.00000       -0.12415
      329.00000       83.00000       -0.10623
      331.00000       83.00000       -0.09034
      333.00000       83.00000       -0.07633
      335.00000       83.00000       -0.06404
      337.00000       83.00000       -0.05329
      339.00000       83.00000       -0.04391
      341.00000       83.00000       -0.03572
      343.00000       83.00000       -0.02852
      345.00000       83.00000       -0.02215
      347.00000       83.00000       -0.01642
      349.00000       83.00000       -0.01117
      351.00000       83.00000       -0.00628
