 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
      115.00000       85.00000        0.03034
      117.00000       85.00000        0.03469
      119.00000       85.00000        0.03913
      121.00000       85.00000        0.04366
      123.00000       85.00000        0.04829
      125.00000       85.00000        0.05303
      127.00000       85.00000        0.05788
      129.00000       85.00000        0.06284
      131.00000       85.00000        0.06791
      133.00000       85.00000        0.07310
      135.00000       85.00000        0.07839
      137.00000       85.00000        0.08380
      139.00000       85.00000        0.08930
      141.00000       85.00000        0.09490
      143.00000       85.00000        0.10059
      145.00000       85.00000        0.10638
      147.00000       85.00000        0.11225
      149.00000       85.00000        0.11822
      151.00000       85.00000        0.12427
      153.00000       85.00000        0.13042
      155.00000       85.00000        0.13667
      157.00000       85.00000        0.14303
      159.00000       85.00000        0.14951
      161.00000       85.00000        0.15611
      163.00000       85.00000        0.16285
      165.00000       85.00000        0.16971
      167.00000       85.00000        0.17669
      169.00000       85.00000        0.18380
      171.00000       85.00000        0.19100
      173.00000       85.00000        0.19828
      175.00000       85.00000        0.20563
      177.00000       85.00000        0.21302
      179.00000       85.00000        0.22043
      181.00000       85.00000        0.22785
      183.00000       85.00000        0.23529
      185.00000       85.00000        0.24273
      187.00000       85.00000        0.25019
      189.00000       85.00000        0.25768
      191.00000       85.00000        0.26521
      193.00000       85.00000        0.27278
      195.00000       85.00000        0.28038
      197.00000       85.00000        0.28800
      199.00000       85.00000        0.29561
      201.00000       85.00000        0.30316
      203.00000       85.00000        0.31060
      205.00000       85.00000        0.31786
      207.00000       85.00000        0.32489
      209.00000       85.00000        0.33161
      211.00000       85.00000        0.33795
      213.00000       85.00000        0.34384
      215.00000       85.00000        0.34922
      217.00000       85.00000        0.35400
      219.00000       85.00000        0.35810
      221.00000       85.00000        0.36143
      223.00000       85.00000        0.36390
      225.00000       85.00000        0.36540
      227.00000       85.00000        0.36580
      229.00000       85.00000        0.36498
      231.00000       85.00000        0.36283
      233.00000       85.00000        0.35921
      235.00000       85.00000        0.35402
      237.00000       85.00000        0.34716
      239.00000       85.00000        0.33856
      241.00000       85.00000        0.32817
      243.00000       85.00000        0.31595
      245.00000       85.00000        0.30192
      247.00000       85.00000        0.28611
      249.00000       85.00000        0.26858
      251.00000       85.00000        0.24943
      253.00000       85.00000        0.22875
      255.00000       85.00000        0.20671
      257.00000       85.00000        0.18344
      259.00000       85.00000        0.15912
      261.00000       85.00000        0.13394
      263.00000       85.00000        0.10809
      265.00000       85.00000        0.08175
      267.00000       85.00000        0.05512
      269.00000       85.00000        0.02839
      271.00000       85.00000        0.00173
      273.00000       85.00000       -0.02467
      275.00000       85.00000       -0.05068
      277.00000       85.00000       -0.07614
      279.00000       85.00000       -0.10092
      281.00000       85.00000       -0.12490
      283.00000       85.00000       -0.14798
      285.00000       85.00000       -0.17006
      287.00000       85.00000       -0.19104
      289.00000       85.00000       -0.21084
      291.00000       85.00000       -0.22939
      293.00000       85.00000       -0.24660
      295.00000       85.00000       -0.26241
      297.00000       85.00000       -0.27676
      299.00000       85.00000       -0.28960
      301.00000       85.00000       -0.30088
      303.00000       85.00000       -0.31057
      305.00000       85.00000       -0.31867
      307.00000       85.00000       -0.32519
      309.00000       85.00000       -0.33016
      311.00000       85.00000       -0.33364
      313.00000       85.00000       -0.33570
      315.00000       85.00000       -0.33644
      317.00000       85.00000       -0.33596
      319.00000       85.00000       -0.33438
      321.00000       85.00000       -0.33184
      323.00000       85.00000       -0.32845
      325.00000       85.00000       -0.32434
      327.00000       85.00000       -0.31963
      329.00000       85.00000       -0.31445
      331.00000       85.00000       -0.30888
      333.00000       85.00000       -0.30304
      335.00000       85.00000       -0.29701
      337.00000       85.00000       -0.29088
      339.00000       85.00000       -0.28471
      341.00000       85.00000       -0.27856
      343.00000       85.00000       -0.27247
      345.00000       85.00000       -0.26646
      347.00000       85.00000       -0.26055
      349.00000       85.00000       -0.25474
      351.00000       85.00000       -0.24900
      353.00000       85.00000       -0.24332
      355.00000       85.00000       -0.23766
      357.00000       85.00000       -0.23201
      359.00000       85.00000       -0.22635
        1.00000       83.00000       -0.19799
        3.00000       83.00000       -0.19192
        5.00000       83.00000       -0.18587
        7.00000       83.00000       -0.17985
        9.00000       83.00000       -0.17386
       11.00000       83.00000       -0.16790
       13.00000       83.00000       -0.16198
       15.00000       83.00000       -0.15610
       17.00000       83.00000       -0.15026
       19.00000       83.00000       -0.14449
       21.00000       83.00000       -0.13884
       23.00000       83.00000       -0.13335
       25.00000       83.00000       -0.12809
       27.00000       83.00000       -0.12309
       29.00000       83.00000       -0.11839
       31.00000       83.00000       -0.11400
       33.00000       83.00000       -0.10990
       35.00000       83.00000       -0.10607
       37.00000       83.00000       -0.10246
       39.00000       83.00000       -0.09901
       41.00000       83.00000       -0.09566
       43.00000       83.00000       -0.09237
       45.00000       83.00000       -0.08910
       47.00000       83.00000       -0.08583
       49.00000       83.00000       -0.08254
       51.00000       83.00000       -0.07922
       53.00000       83.00000       -0.07589
       55.00000       83.00000       -0.07254
       57.00000       83.00000       -0.06920
       59.00000       83.00000       -0.06587
       61.00000       83.00000       -0.06257
       63.00000       83.00000       -0.05932
       65.00000       83.00000       -0.05612
       67.00000       83.00000       -0.05299
       69.00000       83.00000       -0.04993
       71.00000       83.00000       -0.04695
       73.00000       83.00000       -0.04406
       75.00000       83.00000       -0.04124
       77.00000       83.00000       -0.03849
       79.00000       83.00000       -0.03578
       81.00000       83.00000       -0.03309
       83.00000       83.00000       -0.03039
       85.00000       83.00000       -0.02765
       87.00000       83.00000       -0.02482
       89.00000       83.00000       -0.02190
       91.00000       83.00000       -0.01886
       93.00000       83.00000       -0.01571
       95.00000       83.00000       -0.01248
       97.00000       83.00000       -0.00920
       99.00000       83.00000       -0.00590
      101.00000       83.00000       -0.00263
      103.00000       83.00000        0.00057
      105.00000       83.00000        0.00370
      107.00000       83.00000        0.00674
      109.00000       83.00000        0.00971
      111.00000       83.00000        0.01266
      113.00000       83.00000        0.01560
      115.00000       83.00000        0.01860
      117.00000       83.00000        0.02170
      119.00000       83.00000        0.02491
      121.00000       83.00000        0.02828
      123.00000       83.00000        0.03181
      125.00000       83.00000        0.03551
      127.00000       83.00000        0.03939
      129.00000       83.00000        0.04343
      131.00000       83.00000        0.04765
      133.00000       83.00000        0.05203
      135.00000       83.00000        0.05658
      137.00000       83.00000        0.06130
      139.00000       83.00000        0.06620
      141.00000       83.00000        0.07127
      143.00000       83.00000        0.07652
      145.00000       83.00000        0.08197
      147.00000       83.00000        0.08760
      149.00000       83.00000        0.09342
      151.00000       83.00000        0.09942
      153.00000       83.00000        0.10559
      155.00000       83.00000        0.11193
      157.00000       83.00000        0.11842
      159.00000       83.00000        0.12505
      161.00000       83.00000        0.13183
      163.00000       83.00000        0.13876
      165.00000       83.00000        0.14588
      167.00000       83.00000        0.15321
      169.00000       83.00000        0.16078
      171.00000       83.00000        0.16863
      173.00000       83.00000        0.17678
      175.00000       83.00000        0.18522
      177.00000       83.00000        0.19395
      179.00000       83.00000        0.20293
      181.00000       83.00000        0.21214
      183.00000       83.00000        0.22155
      185.00000       83.00000        0.23116
      187.00000       83.00000        0.24101
      189.00000       83.00000        0.25115
      191.00000       83.00000        0.26165
      193.00000       83.00000        0.27259
      195.00000       83.00000        0.28403
      197.00000       83.00000        0.29599
      199.00000       83.00000        0.30845
      201.00000       83.00000        0.32139
      203.00000       83.00000        0.33472
      205.00000       83.00000        0.34839
      207.00000       83.00000        0.36234
      209.00000       83.00000        0.37653
      211.00000       83.00000        0.39090
      213.00000       83.00000        0.40540
      215.00000       83.00000        0.41991
      217.00000       83.00000        0.43423
      219.00000       83.00000        0.44808
      221.00000       83.00000        0.46109
      223.00000       83.00000        0.47280
      225.00000       83.00000        0.48272
      227.00000       83.00000        0.49032
      229.00000       83.00000        0.49510
      231.00000       83.00000        0.49661
      233.00000       83.00000        0.49447
      235.00000       83.00000        0.48843
      237.00000       83.00000        0.47833
      239.00000       83.00000        0.46416
      241.00000       83.00000        0.44603
      243.00000       83.00000        0.42417
      245.00000       83.00000        0.39893
      247.00000       83.00000        0.37075
      249.00000       83.00000        0.34015
      251.00000       83.00000        0.30768
      253.00000       83.00000        0.27392
      255.00000       83.00000        0.23941
      257.00000       83.00000        0.20467
      259.00000       83.00000        0.17014
      261.00000       83.00000        0.13618
      263.00000       83.00000        0.10304
      265.00000       83.00000        0.07088
      267.00000       83.00000        0.03976
      269.00000       83.00000        0.00962
      271.00000       83.00000       -0.01965
      273.00000       83.00000       -0.04825
      275.00000       83.00000       -0.07642
      277.00000       83.00000       -0.10440
      279.00000       83.00000       -0.13243
      281.00000       83.00000       -0.16069
      283.00000       83.00000       -0.18928
      285.00000       83.00000       -0.21822
      287.00000       83.00000       -0.24739
      289.00000       83.00000       -0.27655
      291.00000       83.00000       -0.30535
      293.00000       83.00000       -0.33333
      295.00000       83.00000       -0.35997
      297.00000       83.00000       -0.38470
      299.00000       83.00000       -0.40694
      301.00000       83.00000       -0.42619
      303.00000       83.00000       -0.44197
      305.00000       83.00000       -0.45396
      307.00000       83.00000       -0.46193
      309.00000       83.00000       -0.46581
      311.00000       83.00000       -0.46569
      313.00000       83.00000       -0.46179
      315.00000       83.00000       -0.45450
      317.00000       83.00000       -0.44430
      319.00000       83.00000       -0.43176
      321.00000       83.00000       -0.41749
      323.00000       83.00000       -0.40209
      325.00000       83.00000       -0.38609
      327.00000       83.00000       -0.36996
      329.00000       83.00000       -0.35403
      331.00000       83.00000       -0.33856
      333.00000       83.00000       -0.32373
      335.00000       83.00000       -0.30965
      337.00000       83.00000       -0.29641
      339.00000       83.00000       -0.28407
      341.00000       83.00000       -0.27269
      343.00000       83.00000       -0.26228
      345.00000       83.00000       -0.25283
      347.00000       83.00000       -0.24427
      349.00000       83.00000       -0.23650
      351.00000       83.00000       -0.22937
      353.00000       83.00000       -0.22271
      355.00000       83.00000       -0.21635
      357.00000       83.00000       -0.21017
      359.00000       83.00000       -0.20406
        1.00000       81.00000       -0.17474
        3.00000       81.00000       -0.16998
        5.00000       81.00000       -0.16520
        7.00000       81.00000       -0.16021
        9.00000       81.00000       -0.15479
       11.00000       81.00000       -0.14874
