 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_rad (mm/yr)
# -----------------------------------------------
      135.00000       83.00000        0.13065
      137.00000       83.00000        0.13275
      139.00000       83.00000        0.13485
      141.00000       83.00000        0.13690
      143.00000       83.00000        0.13886
      145.00000       83.00000        0.14070
      147.00000       83.00000        0.14235
      149.00000       83.00000        0.14379
      151.00000       83.00000        0.14495
      153.00000       83.00000        0.14581
      155.00000       83.00000        0.14633
      157.00000       83.00000        0.14649
      159.00000       83.00000        0.14627
      161.00000       83.00000        0.14567
      163.00000       83.00000        0.14465
      165.00000       83.00000        0.14320
      167.00000       83.00000        0.14124
      169.00000       83.00000        0.13868
      171.00000       83.00000        0.13539
      173.00000       83.00000        0.13122
      175.00000       83.00000        0.12599
      177.00000       83.00000        0.11954
      179.00000       83.00000        0.11173
      181.00000       83.00000        0.10241
      183.00000       83.00000        0.09150
      185.00000       83.00000        0.07889
      187.00000       83.00000        0.06448
      189.00000       83.00000        0.04810
      191.00000       83.00000        0.02956
      193.00000       83.00000        0.00855
      195.00000       83.00000       -0.01524
      197.00000       83.00000       -0.04222
      199.00000       83.00000       -0.07278
      201.00000       83.00000       -0.10730
      203.00000       83.00000       -0.14612
      205.00000       83.00000       -0.18955
      207.00000       83.00000       -0.23786
      209.00000       83.00000       -0.29133
      211.00000       83.00000       -0.35024
      213.00000       83.00000       -0.41489
      215.00000       83.00000       -0.48560
      217.00000       83.00000       -0.56267
      219.00000       83.00000       -0.64630
      221.00000       83.00000       -0.73658
      223.00000       83.00000       -0.83339
      225.00000       83.00000       -0.93637
      227.00000       83.00000       -1.04489
      229.00000       83.00000       -1.15807
      231.00000       83.00000       -1.27476
      233.00000       83.00000       -1.39359
      235.00000       83.00000       -1.51305
      237.00000       83.00000       -1.63152
      239.00000       83.00000       -1.74733
      241.00000       83.00000       -1.85884
      243.00000       83.00000       -1.96452
      245.00000       83.00000       -2.06298
      247.00000       83.00000       -2.15304
      249.00000       83.00000       -2.23377
      251.00000       83.00000       -2.30453
      253.00000       83.00000       -2.36495
      255.00000       83.00000       -2.41498
      257.00000       83.00000       -2.45483
      259.00000       83.00000       -2.48494
      261.00000       83.00000       -2.50595
      263.00000       83.00000       -2.51864
      265.00000       83.00000       -2.52385
      267.00000       83.00000       -2.52243
      269.00000       83.00000       -2.51518
      271.00000       83.00000       -2.50277
      273.00000       83.00000       -2.48570
      275.00000       83.00000       -2.46430
      277.00000       83.00000       -2.43864
      279.00000       83.00000       -2.40859
      281.00000       83.00000       -2.37382
      283.00000       83.00000       -2.33383
      285.00000       83.00000       -2.28799
      287.00000       83.00000       -2.23567
      289.00000       83.00000       -2.17623
      291.00000       83.00000       -2.10918
      293.00000       83.00000       -2.03421
      295.00000       83.00000       -1.95126
      297.00000       83.00000       -1.86057
