 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
       65.00000       85.00000        0.02005
       67.00000       85.00000        0.02022
       69.00000       85.00000        0.02039
       71.00000       85.00000        0.02054
       73.00000       85.00000        0.02069
       75.00000       85.00000        0.02082
       77.00000       85.00000        0.02095
       79.00000       85.00000        0.02106
       81.00000       85.00000        0.02117
       83.00000       85.00000        0.02126
       85.00000       85.00000        0.02135
       87.00000       85.00000        0.02143
       89.00000       85.00000        0.02150
       91.00000       85.00000        0.02156
       93.00000       85.00000        0.02161
       95.00000       85.00000        0.02165
       97.00000       85.00000        0.02168
       99.00000       85.00000        0.02170
      101.00000       85.00000        0.02172
      103.00000       85.00000        0.02172
      105.00000       85.00000        0.02172
      107.00000       85.00000        0.02170
      109.00000       85.00000        0.02168
      111.00000       85.00000        0.02164
      113.00000       85.00000        0.02159
      115.00000       85.00000        0.02153
      117.00000       85.00000        0.02146
      119.00000       85.00000        0.02138
      121.00000       85.00000        0.02128
      123.00000       85.00000        0.02117
      125.00000       85.00000        0.02105
      127.00000       85.00000        0.02091
      129.00000       85.00000        0.02075
      131.00000       85.00000        0.02058
      133.00000       85.00000        0.02039
      135.00000       85.00000        0.02018
      137.00000       85.00000        0.01995
      139.00000       85.00000        0.01970
      141.00000       85.00000        0.01942
      143.00000       85.00000        0.01912
      145.00000       85.00000        0.01879
      147.00000       85.00000        0.01844
      149.00000       85.00000        0.01806
      151.00000       85.00000        0.01765
      153.00000       85.00000        0.01721
      155.00000       85.00000        0.01673
      157.00000       85.00000        0.01622
      159.00000       85.00000        0.01567
      161.00000       85.00000        0.01509
      163.00000       85.00000        0.01446
      165.00000       85.00000        0.01379
      167.00000       85.00000        0.01307
      169.00000       85.00000        0.01231
      171.00000       85.00000        0.01150
      173.00000       85.00000        0.01063
      175.00000       85.00000        0.00972
      177.00000       85.00000        0.00875
      179.00000       85.00000        0.00773
      181.00000       85.00000        0.00665
      183.00000       85.00000        0.00551
      185.00000       85.00000        0.00431
      187.00000       85.00000        0.00306
      189.00000       85.00000        0.00174
      191.00000       85.00000        0.00037
      193.00000       85.00000       -0.00106
      195.00000       85.00000       -0.00255
      197.00000       85.00000       -0.00410
      199.00000       85.00000       -0.00570
      201.00000       85.00000       -0.00736
      203.00000       85.00000       -0.00906
      205.00000       85.00000       -0.01082
      207.00000       85.00000       -0.01262
      209.00000       85.00000       -0.01446
      211.00000       85.00000       -0.01633
      213.00000       85.00000       -0.01823
      215.00000       85.00000       -0.02015
      217.00000       85.00000       -0.02209
      219.00000       85.00000       -0.02403
      221.00000       85.00000       -0.02597
      223.00000       85.00000       -0.02790
      225.00000       85.00000       -0.02982
      227.00000       85.00000       -0.03170
      229.00000       85.00000       -0.03355
      231.00000       85.00000       -0.03535
      233.00000       85.00000       -0.03710
      235.00000       85.00000       -0.03878
      237.00000       85.00000       -0.04040
      239.00000       85.00000       -0.04194
      241.00000       85.00000       -0.04339
      243.00000       85.00000       -0.04476
      245.00000       85.00000       -0.04603
      247.00000       85.00000       -0.04720
      249.00000       85.00000       -0.04828
      251.00000       85.00000       -0.04925
      253.00000       85.00000       -0.05013
      255.00000       85.00000       -0.05090
      257.00000       85.00000       -0.05157
      259.00000       85.00000       -0.05214
      261.00000       85.00000       -0.05261
      263.00000       85.00000       -0.05299
      265.00000       85.00000       -0.05327
      267.00000       85.00000       -0.05346
      269.00000       85.00000       -0.05356
      271.00000       85.00000       -0.05356
      273.00000       85.00000       -0.05347
      275.00000       85.00000       -0.05329
      277.00000       85.00000       -0.05302
      279.00000       85.00000       -0.05266
      281.00000       85.00000       -0.05219
      283.00000       85.00000       -0.05164
      285.00000       85.00000       -0.05098
      287.00000       85.00000       -0.05023
      289.00000       85.00000       -0.04937
      291.00000       85.00000       -0.04842
      293.00000       85.00000       -0.04737
      295.00000       85.00000       -0.04622
      297.00000       85.00000       -0.04497
      299.00000       85.00000       -0.04364
      301.00000       85.00000       -0.04222
      303.00000       85.00000       -0.04072
      305.00000       85.00000       -0.03915
      307.00000       85.00000       -0.03751
      309.00000       85.00000       -0.03581
      311.00000       85.00000       -0.03407
      313.00000       85.00000       -0.03228
      315.00000       85.00000       -0.03045
      317.00000       85.00000       -0.02861
      319.00000       85.00000       -0.02675
      321.00000       85.00000       -0.02488
      323.00000       85.00000       -0.02301
      325.00000       85.00000       -0.02116
      327.00000       85.00000       -0.01932
      329.00000       85.00000       -0.01751
      331.00000       85.00000       -0.01573
      333.00000       85.00000       -0.01398
      335.00000       85.00000       -0.01228
      337.00000       85.00000       -0.01062
      339.00000       85.00000       -0.00901
      341.00000       85.00000       -0.00745
      343.00000       85.00000       -0.00595
      345.00000       85.00000       -0.00450
      347.00000       85.00000       -0.00311
      349.00000       85.00000       -0.00178
      351.00000       85.00000       -0.00051
      353.00000       85.00000        0.00071
      355.00000       85.00000        0.00187
      357.00000       85.00000        0.00298
      359.00000       85.00000        0.00404
        1.00000       83.00000        0.00519
        3.00000       83.00000        0.00623
        5.00000       83.00000        0.00719
        7.00000       83.00000        0.00807
        9.00000       83.00000        0.00889
       11.00000       83.00000        0.00965
       13.00000       83.00000        0.01035
       15.00000       83.00000        0.01101
       17.00000       83.00000        0.01163
       19.00000       83.00000        0.01220
       21.00000       83.00000        0.01275
       23.00000       83.00000        0.01326
       25.00000       83.00000        0.01375
       27.00000       83.00000        0.01421
       29.00000       83.00000        0.01465
       31.00000       83.00000        0.01508
       33.00000       83.00000        0.01548
       35.00000       83.00000        0.01588
       37.00000       83.00000        0.01626
       39.00000       83.00000        0.01662
       41.00000       83.00000        0.01698
       43.00000       83.00000        0.01732
       45.00000       83.00000        0.01766
       47.00000       83.00000        0.01798
       49.00000       83.00000        0.01829
       51.00000       83.00000        0.01860
       53.00000       83.00000        0.01889
       55.00000       83.00000        0.01917
       57.00000       83.00000        0.01944
       59.00000       83.00000        0.01970
       61.00000       83.00000        0.01995
       63.00000       83.00000        0.02018
       65.00000       83.00000        0.02041
       67.00000       83.00000        0.02062
       69.00000       83.00000        0.02082
