 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
      169.00000       83.00000       -0.11565
      171.00000       83.00000       -0.11479
      173.00000       83.00000       -0.11369
      175.00000       83.00000       -0.11231
      177.00000       83.00000       -0.11060
      179.00000       83.00000       -0.10852
      181.00000       83.00000       -0.10601
      183.00000       83.00000       -0.10301
      185.00000       83.00000       -0.09945
      187.00000       83.00000       -0.09524
      189.00000       83.00000       -0.09031
      191.00000       83.00000       -0.08454
      193.00000       83.00000       -0.07784
      195.00000       83.00000       -0.07009
      197.00000       83.00000       -0.06116
      199.00000       83.00000       -0.05094
      201.00000       83.00000       -0.03928
      203.00000       83.00000       -0.02609
      205.00000       83.00000       -0.01125
      207.00000       83.00000        0.00532
      209.00000       83.00000        0.02370
      211.00000       83.00000        0.04389
      213.00000       83.00000        0.06591
      215.00000       83.00000        0.08969
      217.00000       83.00000        0.11513
      219.00000       83.00000        0.14206
      221.00000       83.00000        0.17025
      223.00000       83.00000        0.19944
      225.00000       83.00000        0.22928
      227.00000       83.00000        0.25941
      229.00000       83.00000        0.28942
      231.00000       83.00000        0.31890
      233.00000       83.00000        0.34742
      235.00000       83.00000        0.37459
      237.00000       83.00000        0.40005
      239.00000       83.00000        0.42348
      241.00000       83.00000        0.44466
      243.00000       83.00000        0.46342
      245.00000       83.00000        0.47968
      247.00000       83.00000        0.49344
      249.00000       83.00000        0.50479
      251.00000       83.00000        0.51386
      253.00000       83.00000        0.52087
      255.00000       83.00000        0.52608
      257.00000       83.00000        0.52976
      259.00000       83.00000        0.53221
      261.00000       83.00000        0.53371
      263.00000       83.00000        0.53451
      265.00000       83.00000        0.53486
      267.00000       83.00000        0.53494
      269.00000       83.00000        0.53486
      271.00000       83.00000        0.53470
      273.00000       83.00000        0.53445
      275.00000       83.00000        0.53405
      277.00000       83.00000        0.53338
      279.00000       83.00000        0.53225
      281.00000       83.00000        0.53044
      283.00000       83.00000        0.52768
      285.00000       83.00000        0.52370
      287.00000       83.00000        0.51819
      289.00000       83.00000        0.51088
      291.00000       83.00000        0.50152
      293.00000       83.00000        0.48990
      295.00000       83.00000        0.47588
      297.00000       83.00000        0.45936
      299.00000       83.00000        0.44036
      301.00000       83.00000        0.41895
      303.00000       83.00000        0.39530
      305.00000       83.00000        0.36964
      307.00000       83.00000        0.34229
      309.00000       83.00000        0.31361
      311.00000       83.00000        0.28400
      313.00000       83.00000        0.25387
      315.00000       83.00000        0.22365
      317.00000       83.00000        0.19373
      319.00000       83.00000        0.16451
      321.00000       83.00000        0.13630
      323.00000       83.00000        0.10939
      325.00000       83.00000        0.08400
      327.00000       83.00000        0.06030
      329.00000       83.00000        0.03839
      331.00000       83.00000        0.01834
      333.00000       83.00000        0.00014
      335.00000       83.00000       -0.01622
      337.00000       83.00000       -0.03081
      339.00000       83.00000       -0.04372
      341.00000       83.00000       -0.05506
      343.00000       83.00000       -0.06494
      345.00000       83.00000       -0.07349
      347.00000       83.00000       -0.08084
      349.00000       83.00000       -0.08711
      351.00000       83.00000       -0.09243
      353.00000       83.00000       -0.09689
      355.00000       83.00000       -0.10062
      357.00000       83.00000       -0.10369
      359.00000       83.00000       -0.10621
        1.00000       81.00000       -0.10039
        3.00000       81.00000       -0.10030
        5.00000       81.00000       -0.09984
        7.00000       81.00000       -0.09911
        9.00000       81.00000       -0.09821
       11.00000       81.00000       -0.09721
       13.00000       81.00000       -0.09617
       15.00000       81.00000       -0.09517
       17.00000       81.00000       -0.09424
       19.00000       81.00000       -0.09341
       21.00000       81.00000       -0.09273
       23.00000       81.00000       -0.09221
       25.00000       81.00000       -0.09186
       27.00000       81.00000       -0.09168
       29.00000       81.00000       -0.09167
       31.00000       81.00000       -0.09181
       33.00000       81.00000       -0.09208
       35.00000       81.00000       -0.09246
       37.00000       81.00000       -0.09292
       39.00000       81.00000       -0.09345
       41.00000       81.00000       -0.09400
